fifa_league_name,country,tm_code,no_players,no_teams,tm_link,
SAF,Argentina,AR1N,920,24,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/AR1N/plus/?saison_id=2019,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/AR1N/plus/?saison_id=2019
Saudi Professional League,Saudi Arabia,SA1,434,16,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/SA1/plus/?saison_id=2019,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/SA1/plus/?saison_id=2019
Scottish Premiership,Scotland,SC1,326,12,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/SC1/plus/?saison_id=2019,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/SC1/plus/?saison_id=2019
Serie A TIM,Italy,IT1,923,20,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/IT1/plus/?saison_id=2019,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/IT1/plus/?saison_id=2019
South African FL,South Africa,SFA1,58,2,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/SFA1/plus/?saison_id=2019,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/SFA1/plus/?saison_id=2019
SSE Airtricity League,Ireland,IR1,263,10,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/IR1/plus/?saison_id=2019,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/IR1/plus/?saison_id=2019
SŸper Lig,Turkey,TR1,560,18,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/TR1/plus/?saison_id=2019,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/TR1/plus/?saison_id=2019
Superliga,Denmark,DK1,383,14,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/DK1/plus/?saison_id=2019,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/DK1/plus/?saison_id=2019
UAE Gulf League,United Arab Emirates,UAE1,31,1,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/UAE1/plus/?saison_id=2019,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/UAE1/plus/?saison_id=2019
Ukraine Liga,Ukraine,UKR1,72,2,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/UKR1/plus/?saison_id=2019,https://www.transfermarkt.co.uk/jumplist/startseite/wettbewerb/UKR1/plus/?saison_id=2019
