position_number,position_description,name,dob,nationality,value
24,Right Winger,Reiss Nelson,"Dec 10, 1999 (20)",England / Zimbabwe,£11.25m
14,Centre-Forward,Pierre-Emerick Aubameyang,"Jun 18, 1989 (30)",Gabon / France,£50.40m
9,Centre-Forward,Alexandre Lacazette,"May 28, 1991 (28)",France / Guadeloupe,£43.20m
35,Centre-Forward,Gabriel Martinelli,"Jun 18, 2001 (18)",Brazil / Italy,£22.50m
30,Centre-Forward,Eddie Nketiah,"May 30, 1999 (20)",England / Ghana,£9.90m
1,Goalkeeper,Jordan Pickford,"Mar 7, 1994 (26)",England,£25.20m
22,Goalkeeper,Maarten Stekelenburg,"Sep 22, 1982 (37)",Netherlands,£495k
5,Centre-Back,Michael Keane,"Jan 11, 1993 (27)",England / Ireland,£18.00m
13,Centre-Back,Yerry Mina,"Sep 23, 1994 (25)",Colombia,£18.00m
2,Centre-Back,Mason Holgate,"Oct 22, 1996 (23)",England / Jamaica,£12.15m
12,Left-Back,Lucas Digne,"Jul 20, 1993 (26)",France,£25.20m
3,Left-Back,Leighton Baines,"Dec 11, 1984 (35)",England,£1.44m
19,Right-Back,Djibril Sidibé,"Jul 29, 1992 (27)",France / Mali,£8.55m
23,Right-Back,Seamus Coleman,"Oct 11, 1988 (31)",Ireland,£8.55m
30,Right-Back,Cuco Martina,"Sep 25, 1989 (30)",Curacao / Netherlands,£1.08m
25,Defensive Midfield,Jean-Philippe Gbamin,"Sep 25, 1995 (24)",Cote d'Ivoire / France,£20.25m
18,Defensive Midfield,Morgan Schneiderlin,"Nov 8, 1989 (30)",France,£8.55m
21,Central Midfield,André Gomes,"Jul 30, 1993 (26)",Portugal,£20.25m
26,Central Midfield,Tom Davies,"Jun 30, 1998 (21)",England,£14.40m
8,Central Midfield,Fabian Delph,"Nov 21, 1989 (30)",England / Guyana,£10.80m
34,Central Midfield,Beni Baningime,"Sep 9, 1998 (21)",DR Congo / England,£1.17m
10,Attacking Midfield,Gylfi Sigurdsson,"Sep 8, 1989 (30)",Iceland,£20.25m
7,Left Winger,Richarlison,"May 10, 1997 (22)",Brazil,£46.80m
17,Left Winger,Alex Iwobi,"May 3, 1996 (23)",Nigeria / England,£22.95m
20,Left Winger,Bernard,"Sep 8, 1992 (27)",Brazil / Spain,£14.40m
11,Right Winger,Theo Walcott,"Mar 16, 1989 (31)",England,£10.80m
27,Centre-Forward,Moise Kean,"Feb 28, 2000 (20)",Italy / Cote d'Ivoire,£22.50m
9,Centre-Forward,Dominic Calvert-Lewin,"Mar 16, 1997 (23)",England,£21.60m
14,Centre-Forward,Cenk Tosun,"Jun 7, 1991 (28)",Turkey / Germany,£10.80m
29,Centre-Forward,Oumar Niasse,"Apr 18, 1990 (30)",Senegal,£2.88m
1,Goalkeeper,Kasper Schmeichel,"Nov 5, 1986 (33)",Denmark,£8.55m
12,Goalkeeper,Danny Ward,"Jun 22, 1993 (26)",Wales,£5.85m
35,Goalkeeper,Eldin Jakupovic,"Oct 2, 1984 (35)",Switzerland / Bosnia-Herzegovina,£540k
4,Centre-Back,Caglar Söyüncü,"May 23, 1996 (23)",Turkey,£28.80m
6,Centre-Back,Jonny Evans,"Jan 3, 1988 (32)",Northern Ireland,£10.80m
29,Centre-Back,Ryan Bennett,"Mar 6, 1990 (30)",England,£3.60m
5,Centre-Back,Wes Morgan,"Jan 21, 1984 (36)",Jamaica / England,£1.08m
3,Left-Back,Ben Chilwell,"Dec 21, 1996 (23)",England,£36.00m
28,Left-Back,Christian Fuchs,"Apr 7, 1986 (34)",Austria,£1.44m
21,Right-Back,Ricardo Pereira,"Oct 6, 1993 (26)",Portugal / Cape Verde,£28.80m
2,Right-Back,James Justin,"Feb 23, 1998 (22)",England,£3.24m
25,Defensive Midfield,Wilfred Ndidi,"Dec 16, 1996 (23)",Nigeria,£32.40m
20,Defensive Midfield,Hamza Choudhury,"Oct 1, 1997 (22)",England / Bangladesh,£7.20m
18,Defensive Midfield,Daniel Amartey,"Dec 21, 1994 (25)",Ghana,£4.95m
24,Defensive Midfield,Nampalys Mendy,"Jun 23, 1992 (27)",France / Senegal,£4.95m
8,Central Midfield,Youri Tielemans,"May 7, 1997 (22)",Belgium / DR Congo,£39.60m
26,Central Midfield,Dennis Praet,"May 14, 1994 (25)",Belgium,£17.10m
22,Central Midfield,Matty James,"Jul 22, 1991 (28)",England,£1.08m
11,Right Midfield,Marc Albrighton,"Nov 18, 1989 (30)",England,£7.20m
15,Left Midfield,Harvey Barnes,"Dec 9, 1997 (22)",England,£15.75m
10,Attacking Midfield,James Maddison,"Nov 23, 1996 (23)",England,£43.20m
33,Attacking Midfield,Bartosz Kapustka,"Dec 23, 1996 (23)",Poland,£1.08m
7,Left Winger,Demarai Gray,"Jun 28, 1996 (23)",England / Jamaica,£13.05m
17,Second Striker,Ayoze Pérez,"Jul 29, 1993 (26)",Spain,£21.60m
9,Centre-Forward,Jamie Vardy,"Jan 11, 1987 (33)",England,£14.40m
14,Centre-Forward,Kelechi Iheanacho,"Oct 3, 1996 (23)",Nigeria,£10.80m
11,Goalkeeper,Rui Patrício,"Feb 15, 1988 (32)",Portugal,£14.40m
21,Goalkeeper,John Ruddy,"Oct 24, 1986 (33)",England,£1.80m
15,Centre-Back,Willy Boly,"Feb 3, 1991 (29)",France / Cote d'Ivoire,£13.05m
16,Centre-Back,Conor Coady,"Feb 25, 1993 (27)",England,£13.05m
27,Centre-Back,Romain Saïss,"Mar 26, 1990 (30)",Morocco / France,£3.60m
49,Centre-Back,Max Kilman,"May 23, 1997 (22)",England,£720k
19,Left-Back,Jonny Otto,"Mar 3, 1994 (26)",Spain,£14.40m
29,Left-Back,Rúben Vinagre,"Apr 9, 1999 (21)",Portugal,£8.10m
2,Right-Back,Matt Doherty,"Jan 16, 1992 (28)",Ireland,£14.40m
40,Right-Back,Phil Ofosu-Ayeh,"Sep 15, 1991 (28)",Ghana / Germany,£270k
8,Defensive Midfield,Rúben Neves,"Mar 13, 1997 (23)",Portugal,£36.00m
32,Defensive Midfield,Leander Dendoncker,"Apr 15, 1995 (25)",Belgium,£20.25m
28,Central Midfield,João Moutinho,"Sep 8, 1986 (33)",Portugal,£7.20m
17,Central Midfield,Morgan Gibbs-White,"Jan 27, 2000 (20)",England,£6.48m
-,Central Midfield,Enzo Loiodice,"Nov 27, 2000 (19)",France,£3.60m
6,Central Midfield,Bruno Jordão,"Oct 12, 1998 (21)",Portugal,£2.07m
39,Central Midfield,Ming-Yang Yang,"Jul 11, 1995 (24)",Switzerland / China,£225k
18,Left Winger,Diogo Jota,"Dec 4, 1996 (23)",Portugal,£25.20m
10,Left Winger,Daniel Podence,"Oct 21, 1995 (24)",Portugal,£10.80m
37,Right Winger,Adama Traoré,"Jan 25, 1996 (24)",Spain / Mali,£22.95m
7,Second Striker,Pedro Neto,"Mar 9, 2000 (20)",Portugal,£10.35m
9,Centre-Forward,Raúl Jiménez,"May 5, 1991 (28)",Mexico,£36.00m
30,Centre-Forward,Leonardo Campana,"Jul 24, 2000 (19)",Ecuador / Spain,£1.62m
14,Centre-Forward,Bright Enobakhare,"Feb 8, 1998 (22)",Nigeria / England,£405k
1,Goalkeeper,Lukasz Fabianski,"Apr 18, 1985 (35)",Poland,£2.88m
35,Goalkeeper,Darren Randolph,"May 12, 1987 (32)",Ireland / United States,£2.52m
25,Goalkeeper,David Martin,"Jan 22, 1986 (34)",England,£225k
23,Centre-Back,Issa Diop,"Jan 9, 1997 (23)",France / Senegal,£25.20m
4,Centre-Back,Fabián Balbuena,"Aug 23, 1991 (28)",Paraguay,£8.55m
21,Centre-Back,Angelo Ogbonna,"May 23, 1988 (31)",Italy / Nigeria,£5.85m
20,Centre-Back,Gonçalo Cardoso,"Oct 21, 2000 (19)",Portugal,£2.07m
3,Left-Back,Aaron Cresswell,"Dec 15, 1989 (30)",England,£5.85m
26,Left-Back,Arthur Masuaku,"Nov 7, 1993 (26)",DR Congo / France,£5.85m
24,Right-Back,Ryan Fredericks,"Oct 10, 1992 (27)",England / Guyana,£3.60m
5,Right-Back,Pablo Zabaleta,"Jan 16, 1985 (35)",Argentina / Spain,£720k
41,Defensive Midfield,Declan Rice,"Jan 14, 1999 (21)",England / Ireland,£44.55m
28,Defensive Midfield,Tomas Soucek,"Feb 27, 1995 (25)",Czech Republic,£10.80m
15,Defensive Midfield,Carlos Sánchez,"Feb 6, 1986 (34)",Colombia,£1.08m
16,Central Midfield,Mark Noble,"May 8, 1987 (32)",England / Ireland,£4.32m
19,Central Midfield,Jack Wilshere,"Jan 1, 1992 (28)",England,£4.32m
10,Attacking Midfield,Manuel Lanzini,"Feb 15, 1993 (27)",Argentina / Italy,£14.40m
18,Attacking Midfield,Pablo Fornals,"Feb 22, 1996 (24)",Spain,£14.40m
8,Left Winger,Felipe Anderson,"Apr 15, 1993 (27)",Brazil,£28.80m
17,Right Winger,Jarrod Bowen,"Dec 20, 1996 (23)",England / Wales,£14.40m
7,Right Winger,Andriy Yarmolenko,"Oct 23, 1989 (30)",Ukraine,£8.55m
30,Right Winger,Michail Antonio,"Mar 28, 1990 (30)",England / Jamaica,£8.55m
11,Right Winger,Robert Snodgrass,"Sep 7, 1987 (32)",Scotland,£4.32m
22,Centre-Forward,Sébastien Haller,"Jun 22, 1994 (25)",France / Cote d'Ivoire,£32.40m
27,Centre-Forward,Albian Ajeti,"Feb 26, 1997 (23)",Switzerland / Albania,£4.32m
12,Goalkeeper,Aaron Ramsdale,"May 14, 1998 (21)",England,£11.25m
1,Goalkeeper,Artur Boruc,"Feb 20, 1980 (40)",Poland,£360k
42,Goalkeeper,Mark Travers,"May 18, 1999 (20)",Ireland,£225k
5,Centre-Back,Nathan Aké,"Feb 18, 1995 (25)",Netherlands / Cote d'Ivoire,£25.20m
3,Centre-Back,Steve Cook,"Apr 19, 1991 (29)",England,£8.55m
33,Centre-Back,Chris Mepham,"Nov 5, 1997 (22)",Wales / England,£7.20m
25,Centre-Back,Jack Simpson,"Dec 18, 1996 (23)",England,£1.08m
21,Left-Back,Diego Rico,"Feb 23, 1993 (27)",Spain,£7.20m
26,Left-Back,Lloyd Kelly,"Oct 6, 1998 (21)",England,£7.20m
11,Left-Back,Charlie Daniels,"Sep 7, 1986 (33)",England,£1.44m
15,Right-Back,Adam Smith,"Apr 29, 1991 (28)",England,£6.30m
17,Right-Back,Jack Stacey,"Apr 6, 1996 (24)",England,£2.88m
2,Right-Back,Simon Francis,"Feb 16, 1985 (35)",England,£720k
8,Defensive Midfield,Jefferson Lerma,"Oct 25, 1994 (25)",Colombia,£18.00m
16,Central Midfield,Lewis Cook,"Feb 3, 1997 (23)",England,£14.40m
29,Central Midfield,Philip Billing,"Jun 11, 1996 (23)",Denmark / Nigeria,£13.05m
4,Central Midfield,Dan Gosling,"Feb 1, 1990 (30)",England,£1.80m
6,Central Midfield,Andrew Surman,"Aug 20, 1986 (33)",England / South Africa,£1.44m
28,Central Midfield,Kyle Taylor,"Aug 28, 1999 (20)",England,
20,Attacking Midfield,David Brooks,"Jul 8, 1997 (22)",Wales / England,£21.60m
24,Left Winger,Ryan Fraser,"Feb 24, 1994 (26)",Scotland,£15.75m
14,Left Winger,Arnaut Danjuma,"Jan 31, 1997 (23)",Netherlands / Nigeria,£8.55m
19,Left Winger,Junior Stanislas,"Nov 26, 1989 (30)",England / St. Lucia,£1.80m
22,Right Winger,Harry Wilson,"Mar 22, 1997 (23)",Wales / England,£15.75m
10,Right Winger,Jordon Ibe,"Dec 8, 1995 (24)",England / Nigeria,£4.32m
7,Second Striker,Joshua King,"Jan 15, 1992 (28)",Norway,£14.40m
13,Centre-Forward,Callum Wilson,"Feb 27, 1992 (28)",England / Ireland,£21.60m
9,Centre-Forward,Dominic Solanke,"Sep 14, 1997 (22)",England / Nigeria,£10.80m
44,Centre-Forward,Sam Surridge,"Jul 28, 1998 (21)",England,£405k
1,Goalkeeper,Martin Dubravka,"Jan 15, 1989 (31)",Slovakia,£4.95m
26,Goalkeeper,Karl Darlow,"Oct 8, 1990 (29)",England / Wales,£2.16m
21,Goalkeeper,Rob Elliot,"Apr 30, 1986 (33)",Ireland / England,£540k
6,Centre-Back,Jamaal Lascelles,"Nov 11, 1993 (26)",England,£13.05m
5,Centre-Back,Fabian Schär,"Dec 20, 1991 (28)",Switzerland,£11.70m
18,Centre-Back,Federico Fernández,"Feb 21, 1989 (31)",Argentina / Italy,£4.95m
2,Centre-Back,Ciaran Clark,"Sep 26, 1989 (30)",Ireland / England,£4.32m
20,Centre-Back,Florian Lejeune,"May 20, 1991 (28)",France,£4.32m
28,Left-Back,Danny Rose,"Jul 2, 1990 (29)",England / Jamaica,£14.40m
3,Left-Back,Paul Dummett,"Sep 26, 1991 (28)",Wales / England,£4.95m
15,Left-Back,Jetro Willems,"Mar 30, 1994 (26)",Netherlands / Curacao,£4.95m
22,Right-Back,DeAndre Yedlin,"Jul 9, 1993 (26)",United States / Latvia,£5.85m
17,Right-Back,Emil Krafth,"Aug 2, 1994 (25)",Sweden,£3.60m
19,Right-Back,Javier Manquillo,"May 5, 1994 (25)",Spain,£3.60m
-,Right-Back,Jamie Sterry,"Nov 21, 1995 (24)",England / Italy,£68k
14,Defensive Midfield,Isaac Hayden,"Mar 22, 1995 (25)",England / Jamaica,£7.20m
43,Defensive Midfield,Matthew Longstaff,"Mar 21, 2000 (20)",England,£3.24m
34,Defensive Midfield,Jack Colback,"Oct 24, 1989 (30)",England,£1.44m
36,Central Midfield,Sean Longstaff,"Oct 30, 1997 (22)",England,£15.75m
8,Central Midfield,Jonjo Shelvey,"Feb 27, 1992 (28)",England,£13.05m
42,Central Midfield,Nabil Bentaleb,"Nov 24, 1994 (25)",Algeria / France,£3.60m
23,Right Midfield,Valentino Lazaro,"Mar 24, 1996 (24)",Austria,£13.50m
11,Right Midfield,Matt Ritchie,"Sep 10, 1989 (30)",Scotland / England,£8.55m
24,Attacking Midfield,Miguel Almirón,"Feb 10, 1994 (26)",Paraguay,£14.40m
27,Attacking Midfield,Henri Saivet,"Oct 26, 1990 (29)",Senegal / France,£720k
10,Left Winger,Allan Saint-Maximin,"Mar 12, 1997 (23)",France / Guadeloupe,£18.00m
30,Left Winger,Christian Atsu,"Jan 10, 1992 (28)",Ghana,£4.32m
9,Centre-Forward,Joelinton,"Aug 14, 1996 (23)",Brazil,£18.00m
12,Centre-Forward,Dwight Gayle,"Oct 17, 1990 (29)",England / Jamaica,£8.55m
