position_number,position_description,name,dob,nationality,value
31,Goalkeeper,Ederson,"Aug 17, 1993 (26)",Brazil / Portugal,£50.40m
1,Goalkeeper,Claudio Bravo,"Apr 13, 1983 (37)",Chile / Spain,£1.08m
33,Goalkeeper,Scott Carson,"Sep 3, 1985 (34)",England,£720k
14,Centre-Back,Aymeric Laporte,"May 27, 1994 (25)",France,£54.00m
5,Centre-Back,John Stones,"May 28, 1994 (25)",England,£32.40m
30,Centre-Back,Nicolás Otamendi,"Feb 12, 1988 (32)",Argentina,£13.05m
50,Centre-Back,Eric García,"Jan 9, 2001 (19)",Spain,£5.67m
22,Left-Back,Benjamin Mendy,"Jul 17, 1994 (25)",France / Senegal,£25.20m
11,Left-Back,Oleksandr Zinchenko,"Dec 15, 1996 (23)",Ukraine,£21.60m
2,Right-Back,Kyle Walker,"May 28, 1990 (29)",England,£36.00m
27,Right-Back,João Cancelo,"May 27, 1994 (25)",Portugal,£32.40m
16,Defensive Midfield,Rodri,"Jun 22, 1996 (23)",Spain,£57.60m
25,Defensive Midfield,Fernandinho,"May 4, 1985 (34)",Brazil,£7.20m
8,Central Midfield,Ilkay Gündogan,"Oct 24, 1990 (29)",Germany,£36.00m
47,Central Midfield,Phil Foden,"May 28, 2000 (19)",England,£24.30m
-,Central Midfield,Mix Diskerud,"Oct 2, 1990 (29)",United States / Norway,£900k
17,Attacking Midfield,Kevin De Bruyne,"Jun 28, 1991 (28)",Belgium,£108.00m
21,Attacking Midfield,David Silva,"Jan 8, 1986 (34)",Spain,£10.80m
7,Left Winger,Raheem Sterling,"Dec 8, 1994 (25)",England / Jamaica,£115.20m
19,Left Winger,Leroy Sané,"Jan 11, 1996 (24)",Germany / France,£72.00m
20,Right Winger,Bernardo Silva,"Aug 10, 1994 (25)",Portugal,£72.00m
26,Right Winger,Riyad Mahrez,"Feb 21, 1991 (29)",Algeria / France,£43.20m
9,Centre-Forward,Gabriel Jesus,"Apr 3, 1997 (23)",Brazil,£50.40m
10,Centre-Forward,Sergio Agüero,"Jun 2, 1988 (31)",Argentina / Spain,£46.80m
1,Goalkeeper,Alisson,"Oct 2, 1992 (27)",Brazil,£64.80m
13,Goalkeeper,Adrián,"Jan 3, 1987 (33)",Spain,£3.60m
62,Goalkeeper,Caoimhin Kelleher,"Nov 23, 1998 (21)",Ireland,£810k
22,Goalkeeper,Andy Lonergan,"Oct 19, 1983 (36)",England,£225k
4,Centre-Back,Virgil van Dijk,"Jul 8, 1991 (28)",Netherlands / Suriname,£72.00m
12,Centre-Back,Joe Gomez,"May 23, 1997 (22)",England / The Gambia,£30.15m
32,Centre-Back,Joel Matip,"Aug 8, 1991 (28)",Cameroon / Germany,£28.80m
6,Centre-Back,Dejan Lovren,"Jul 5, 1989 (30)",Croatia,£14.40m
26,Left-Back,Andrew Robertson,"Mar 11, 1994 (26)",Scotland,£57.60m
66,Right-Back,Trent Alexander-Arnold,"Oct 7, 1998 (21)",England,£89.10m
2,Right-Back,Nathaniel Clyne,"Apr 5, 1991 (29)",England / Grenada,£7.20m
3,Defensive Midfield,Fabinho,"Oct 23, 1993 (26)",Brazil,£50.40m
5,Central Midfield,Georginio Wijnaldum,"Nov 11, 1990 (29)",Netherlands / Suriname,£36.00m
8,Central Midfield,Naby Keïta,"Feb 10, 1995 (25)",Guinea,£30.15m
14,Central Midfield,Jordan Henderson,"Jun 17, 1990 (29)",England,£25.20m
15,Central Midfield,Alex Oxlade-Chamberlain,"Aug 15, 1993 (26)",England,£25.20m
7,Central Midfield,James Milner,"Jan 4, 1986 (34)",England,£5.85m
48,Central Midfield,Curtis Jones,"Jan 30, 2001 (19)",England,£1.62m
20,Attacking Midfield,Adam Lallana,"May 10, 1988 (31)",England,£8.55m
10,Left Winger,Sadio Mané,"Apr 10, 1992 (28)",Senegal,£108.00m
18,Left Winger,Takumi Minamino,"Jan 16, 1995 (25)",Japan,£9.00m
11,Right Winger,Mohamed Salah,"Jun 15, 1992 (27)",Egypt,£108.00m
23,Right Winger,Xherdan Shaqiri,"Oct 10, 1991 (28)",Switzerland / Kosovo,£14.40m
9,Centre-Forward,Roberto Firmino,"Oct 2, 1991 (28)",Brazil,£64.80m
27,Centre-Forward,Divock Origi,"Apr 18, 1995 (25)",Belgium / Kenya,£14.40m
1,Goalkeeper,Hugo Lloris,"Dec 26, 1986 (33)",France,£13.05m
22,Goalkeeper,Paulo Gazzaniga,"Jan 2, 1992 (28)",Argentina / Italy,£2.52m
13,Goalkeeper,Michel Vorm,"Oct 20, 1983 (36)",Netherlands / Suriname,£720k
41,Goalkeeper,Alfie Whiteman,"Oct 2, 1998 (21)",England,
6,Centre-Back,Davinson Sánchez,"Jun 12, 1996 (23)",Colombia,£43.20m
4,Centre-Back,Toby Alderweireld,"Mar 2, 1989 (31)",Belgium,£21.60m
5,Centre-Back,Jan Vertonghen,"Apr 24, 1987 (32)",Belgium,£13.05m
21,Centre-Back,Juan Foyth,"Jan 12, 1998 (22)",Argentina / Spain,£12.15m
39,Centre-Back,Japhet Tanganga,"Mar 31, 1999 (21)",England / DR Congo,£6.48m
33,Left-Back,Ben Davies,"Apr 24, 1993 (26)",Wales,£15.75m
24,Right-Back,Serge Aurier,"Dec 24, 1992 (27)",Cote d'Ivoire,£14.40m
15,Defensive Midfield,Eric Dier,"Jan 15, 1994 (26)",England / Portugal,£18.00m
29,Defensive Midfield,Oliver Skipp,"Sep 16, 2000 (19)",England,£6.48m
28,Central Midfield,Tanguy Ndombélé,"Dec 28, 1996 (23)",France / DR Congo,£46.80m
18,Central Midfield,Giovani Lo Celso,"Apr 9, 1996 (24)",Argentina / Italy,£36.00m
8,Central Midfield,Harry Winks,"Feb 2, 1996 (24)",England,£28.80m
17,Central Midfield,Moussa Sissoko,"Aug 16, 1989 (30)",France / Mali,£18.00m
30,Central Midfield,Gedson Fernandes,"Jan 9, 1999 (21)",Portugal / Sao Tome and Principe,£12.15m
19,Left Midfield,Ryan Sessegnon,"May 18, 2000 (19)",England,£28.35m
20,Attacking Midfield,Dele Alli,"Apr 11, 1996 (24)",England / Nigeria,£57.60m
7,Left Winger,Heung-min Son,"Jul 8, 1992 (27)","Korea, South",£57.60m
23,Left Winger,Steven Bergwijn,"Oct 8, 1997 (22)",Netherlands / Suriname,£25.20m
27,Right Winger,Lucas Moura,"Aug 13, 1992 (27)",Brazil,£28.80m
11,Right Winger,Erik Lamela,"Mar 4, 1992 (28)",Argentina / Spain,£14.40m
10,Centre-Forward,Harry Kane,"Jul 28, 1993 (26)",England,£108.00m
1,Goalkeeper,Kepa,"Oct 3, 1994 (25)",Spain,£28.80m
13,Goalkeeper,Willy Caballero,"Sep 28, 1981 (38)",Argentina / Spain,£540k
2,Centre-Back,Antonio Rüdiger,"Mar 3, 1993 (27)",Germany / Sierra Leone,£36.00m
15,Centre-Back,Kurt Zouma,"Oct 27, 1994 (25)",France / Central African Republic,£25.20m
4,Centre-Back,Andreas Christensen,"Apr 10, 1996 (24)",Denmark,£21.60m
29,Centre-Back,Fikayo Tomori,"Dec 19, 1997 (22)",England / Canada,£14.40m
33,Left-Back,Emerson,"Aug 3, 1994 (25)",Italy / Brazil,£21.60m
3,Left-Back,Marcos Alonso,"Dec 28, 1990 (29)",Spain,£18.00m
28,Right-Back,César Azpilicueta,"Aug 28, 1989 (30)",Spain,£21.60m
24,Right-Back,Reece James,"Dec 8, 1999 (20)",England,£20.25m
5,Defensive Midfield,Jorginho,"Dec 20, 1991 (28)",Italy / Brazil,£46.80m
7,Central Midfield,N'Golo Kanté,"Mar 29, 1991 (29)",France / Mali,£72.00m
17,Central Midfield,Mateo Kovacic,"May 6, 1994 (25)",Croatia,£32.40m
12,Central Midfield,Ruben Loftus-Cheek,"Jan 23, 1996 (24)",England,£21.60m
8,Central Midfield,Ross Barkley,"Dec 5, 1993 (26)",England,£19.35m
47,Central Midfield,Billy Gilmour,"Jun 11, 2001 (18)",Scotland,£4.86m
42,Central Midfield,Marco van Ginkel,"Dec 1, 1992 (27)",Netherlands,£2.88m
-,Central Midfield,Lewis Baker,"Apr 25, 1995 (24)",England / Jamaica,£2.52m
-,Central Midfield,Danilo Pantic,"Oct 26, 1996 (23)",Serbia,£1.26m
19,Attacking Midfield,Mason Mount,"Jan 10, 1999 (21)",England,£36.45m
22,Left Winger,Christian Pulisic,"Sep 18, 1998 (21)",United States / Croatia,£48.60m
20,Left Winger,Callum Hudson-Odoi,"Nov 7, 2000 (19)",England / Ghana,£28.35m
10,Right Winger,Willian,"Aug 9, 1988 (31)",Brazil,£20.25m
11,Right Winger,Pedro,"Jul 28, 1987 (32)",Spain,£8.55m
9,Centre-Forward,Tammy Abraham,"Oct 2, 1997 (22)",England / Nigeria,£36.00m
23,Centre-Forward,Michy Batshuayi,"Oct 2, 1993 (26)",Belgium / DR Congo,£15.75m
18,Centre-Forward,Olivier Giroud,"Sep 30, 1986 (33)",France,£6.30m
1,Goalkeeper,David de Gea,"Nov 7, 1990 (29)",Spain,£36.00m
22,Goalkeeper,Sergio Romero,"Feb 22, 1987 (33)",Argentina / Italy,£2.52m
13,Goalkeeper,Lee Grant,"Jan 27, 1983 (37)",England,£540k
5,Centre-Back,Harry Maguire,"Mar 5, 1993 (27)",England,£50.40m
2,Centre-Back,Victor Lindelöf,"Jul 17, 1994 (25)",Sweden,£25.20m
3,Centre-Back,Eric Bailly,"Apr 12, 1994 (26)",Cote d'Ivoire,£15.75m
38,Centre-Back,Axel Tuanzebe,"Nov 14, 1997 (22)",England / DR Congo,£7.20m
4,Centre-Back,Phil Jones,"Feb 21, 1992 (28)",England,£6.30m
23,Left-Back,Luke Shaw,"Jul 12, 1995 (24)",England,£15.75m
53,Left-Back,Brandon Williams,"Sep 3, 2000 (19)",England,£9.90m
29,Right-Back,Aaron Wan-Bissaka,"Nov 26, 1997 (22)",England / DR Congo,£28.80m
20,Right-Back,Diogo Dalot,"Mar 18, 1999 (21)",Portugal,£16.20m
24,Right-Back,Timothy Fosu-Mensah,"Jan 2, 1998 (22)",Netherlands / Ghana,£5.67m
31,Defensive Midfield,Nemanja Matic,"Aug 1, 1988 (31)",Serbia / Slovakia,£14.40m
6,Central Midfield,Paul Pogba,"Mar 15, 1993 (27)",France,£72.00m
39,Central Midfield,Scott McTominay,"Dec 8, 1996 (23)",Scotland / England,£20.25m
17,Central Midfield,Fred,"Mar 5, 1993 (27)",Brazil,£15.75m
18,Attacking Midfield,Bruno Fernandes,"Sep 8, 1994 (25)",Portugal,£43.20m
15,Attacking Midfield,Andreas Pereira,"Jan 1, 1996 (24)",Brazil / Belgium,£14.40m
8,Attacking Midfield,Juan Mata,"Apr 28, 1988 (31)",Spain,£8.55m
21,Left Winger,Daniel James,"Nov 10, 1997 (22)",Wales / England,£20.25m
14,Right Winger,Jesse Lingard,"Dec 15, 1992 (27)",England,£15.75m
44,Right Winger,Tahith Chong,"Dec 4, 1999 (20)",Netherlands / Curacao,£5.67m
10,Centre-Forward,Marcus Rashford,"Oct 31, 1997 (22)",England,£57.60m
9,Centre-Forward,Anthony Martial,"Dec 5, 1995 (24)",France / Guadeloupe,£43.20m
26,Centre-Forward,Mason Greenwood,"Oct 1, 2001 (18)",England,£26.10m
25,Centre-Forward,Odion Ighalo,"Jun 16, 1989 (30)",Nigeria / Italy,£4.68m
1,Goalkeeper,Bernd Leno,"Mar 4, 1992 (28)",Germany,£25.20m
26,Goalkeeper,Emiliano Martínez,"Sep 2, 1992 (27)",Argentina,£2.52m
33,Goalkeeper,Matt Macey,"Sep 9, 1994 (25)",England,£225k
5,Centre-Back,Sokratis,"Jun 9, 1988 (31)",Greece,£13.05m
20,Centre-Back,Shkodran Mustafi,"Apr 17, 1992 (28)",Germany / Albania,£10.80m
23,Centre-Back,David Luiz,"Apr 22, 1987 (32)",Brazil / Portugal,£10.80m
16,Centre-Back,Rob Holding,"Sep 20, 1995 (24)",England,£8.55m
22,Centre-Back,Pablo Marí,"Aug 31, 1993 (26)",Spain,£4.32m
3,Left-Back,Kieran Tierney,"Jun 5, 1997 (22)",Scotland / Isle of Man,£18.00m
77,Left-Back,Bukayo Saka,"Sep 5, 2001 (18)",England / Nigeria,£18.00m
31,Left-Back,Sead Kolasinac,"Jun 20, 1993 (26)",Bosnia-Herzegovina / Germany,£14.40m
2,Right-Back,Héctor Bellerín,"Mar 19, 1995 (25)",Spain,£28.80m
15,Right-Back,Ainsley Maitland-Niles,"Aug 29, 1997 (22)",England,£13.05m
21,Right-Back,Calum Chambers,"Jan 20, 1995 (25)",England,£13.05m
17,Right-Back,Cédric Soares,"Aug 31, 1991 (28)",Portugal / Germany,£7.20m
11,Defensive Midfield,Lucas Torreira,"Feb 11, 1996 (24)",Uruguay / Spain,£32.40m
34,Defensive Midfield,Granit Xhaka,"Sep 27, 1992 (27)",Switzerland,£21.60m
29,Central Midfield,Mattéo Guendouzi,"Apr 14, 1999 (21)",France / Morocco,£36.45m
8,Central Midfield,Dani Ceballos,"Aug 7, 1996 (23)",Spain,£28.80m
28,Central Midfield,Joe Willock,"Aug 20, 1999 (20)",England / Montserrat,£14.40m
10,Attacking Midfield,Mesut Özil,"Oct 15, 1988 (31)",Germany,£15.75m
19,Right Winger,Nicolas Pépé,"May 29, 1995 (24)",Cote d'Ivoire / France,£46.80m
