position_number,position_description,name,dob,nationality,value
1,Goalkeeper,Marcelo Barovero,"Feb 18, 1984 (36)",Argentina / Italy,£1.08m
22,Goalkeeper,Luis Cárdenas,"Sep 15, 1993 (26)",Mexico,£360k
24,Goalkeeper,Édson Reséndez,"Jan 12, 1996 (24)",Mexico,£90k
3,Centre-Back,César Montes,"Feb 24, 1997 (23)",Mexico,£4.68m
4,Centre-Back,Nicolás Sánchez,"Feb 4, 1986 (34)",Argentina / Spain,£1.08m
15,Centre-Back,José María Basanta,"Apr 3, 1984 (36)",Argentina / Mexico,£720k
11,Left-Back,Leonel Vangioni,"May 5, 1987 (32)",Argentina / Italy,£1.26m
33,Right-Back,Stefan Medina,"Jun 14, 1992 (27)",Colombia,£2.88m
19,Right-Back,Miguel Layún,"Jun 25, 1988 (31)",Mexico / Spain,£2.16m
6,Right-Back,Édson Gutiérrez,"Jan 19, 1996 (24)",Mexico,£585k
25,Defensive Midfield,Jonathan González,"Apr 13, 1999 (21)",Mexico / United States,£2.88m
16,Defensive Midfield,Celso Ortiz,"Jan 26, 1989 (31)",Paraguay,£2.16m
5,Defensive Midfield,Matías Kranevitter,"May 21, 1993 (26)",Argentina / Italy,£1.98m
35,Defensive Midfield,Eric Cantú,"Feb 28, 1999 (21)",Mexico,£563k
29,Central Midfield,Carlos Rodríguez,"Jan 3, 1997 (23)",Mexico,£5.40m
32,Attacking Midfield,Maximiliano Meza,"Dec 15, 1992 (27)",Argentina,£7.20m
21,Attacking Midfield,Arturo González,"Sep 5, 1994 (25)",Mexico,£1.08m
17,Left Winger,Jesús Gallardo,"Aug 15, 1994 (25)",Mexico,£4.32m
18,Left Winger,Avilés Hurtado,"Apr 20, 1987 (32)",Colombia / Mexico,£1.44m
8,Right Winger,Dorlan Pabón,"Jan 24, 1988 (32)",Colombia,£2.16m
7,Centre-Forward,Rogelio Funes Mori,"Mar 5, 1991 (29)",Argentina,£5.85m
9,Centre-Forward,Vincent Janssen,"Jun 15, 1994 (25)",Netherlands,£5.85m
10,Centre-Forward,Aké Loba,"Apr 1, 1998 (22)",Cote d'Ivoire,£3.60m
1,Goalkeeper,Nahuel Guzmán,"Feb 10, 1986 (34)",Argentina,£1.80m
22,Goalkeeper,Eduardo Fernández,"Dec 16, 1992 (27)",Mexico / United States,£180k
30,Goalkeeper,Miguel Ortega,"Apr 13, 1995 (25)",Mexico,£90k
3,Centre-Back,Carlos Salcedo,"Sep 29, 1993 (26)",Mexico,£5.40m
18,Centre-Back,Diego Reyes,"Sep 19, 1992 (27)",Mexico,£1.44m
4,Centre-Back,Hugo Ayala,"Mar 31, 1987 (33)",Mexico,£1.26m
21,Centre-Back,Francisco Meza,"Aug 29, 1991 (28)",Colombia,£1.08m
